UNITID,OPEID,INSTNM,CITY,Year,UGDS,MAIN,NUMBRANCH,HIGHDEG,REGION,LOCALE,LOCALE2,CCSIZSET,PCTPELL,AVGFACSAL,PFTFAC,PRGMOFR,BOOKSUPPLY,ROOMBOARD_ON,ROOMBOARD_OFF,OTHEREXPENSE_ON,OTHEREXPENSE_OFF,ADMCON7,MDCOST_ALL,MDEARN_ALL,UGDS_WOMEN,UGDS_MEN,ADM_RATE,SAT_AVG,ACTCMMID,RET_FT4,C150_4,MD_EARN_WNE_P10,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,OPENADMP,won,lost,tied,notes,win_percentage
145637,00177500,University of Illinois Urbana-Champaign,Champaign,1996,26311.0,1,1,4,3,,,,,7234.0,,,,,,,,,,,0.4581,0.5419,,,,,,,,,,,,,,2.0,9.0,,,0.18181818181818182
147703,00173700,Northern Illinois University,Dekalb,1996,15370.0,1,1,4,3,,,,,5509.0,,,,,,,,,,,0.5429,0.4571,,,,,,,,,,,,,,1.0,10.0,,,0.09090909090909091
147767,00173900,Northwestern University,Evanston,1996,7645.0,1,1,4,3,,,,,8837.0,,,,,,,,,,,0.5128,0.4872,,,,,,,,,,,,,,9.0,3.0,,,0.75
150136,00178600,Ball State University,Muncie,1996,16994.0,1,1,4,3,,,,,4998.0,,,,,,,,,,,0.5275,0.4725,,,,,,,,,,,,,,8.0,4.0,,,0.6666666666666666
151351,00180900,Indiana University-Bloomington,Bloomington,1996,25451.0,1,1,4,3,,,,,6541.0,,,,,,,,,,,0.5448,0.4552,,,,,,,,,,,,,,3.0,8.0,,,0.2727272727272727
152080,00184000,University of Notre Dame,Notre Dame,1996,7850.0,1,1,4,3,,,,,7920.0,,,,,,,,,,,0.4447,0.5553,,,,,,,,,,,,,,8.0,3.0,,,0.7272727272727273
152390,00183600,Saint Mary's College,Notre Dame,1996,1382.0,1,1,3,3,,,,,4922.0,,,,,,,,,,,0.9986,0.0014,,,,,,,,,,,,,,7.0,3.0,,(I-AA play not counted),0.7
153269,00186000,Drake University,Des Moines,1996,3630.0,1,1,4,4,,,,,5732.0,,,,,,,,,,,0.6039,0.3961,,,,,,,,,,,,,,8.0,3.0,,(I-AA play not counted),0.7272727272727273
153384,00186800,Grinnell College,Grinnell,1996,1308.0,1,1,3,4,,,,,6464.0,,,,,,,,,,,0.5505,0.4495,,,,,,,,,,,,,,4.0,5.0,,(Div III play not counted),0.4444444444444444
153603,00186900,Iowa State University,Ames,1996,20100.0,1,1,4,4,,,,,6730.0,,,,,,,,,,,0.43,0.57,,,,,,,,,,,,,,9.0,3.0,,,0.75
153603,00186900,Iowa State University,Ames,1996,20100.0,1,1,4,4,,,,,6730.0,,,,,,,,,,,0.43,0.57,,,,,,,,,,,,,,2.0,9.0,,,0.18181818181818182
155399,00192800,Kansas State University,Manhattan,1996,16119.0,1,2,4,4,,,,,5439.0,,,,,,,,,,,0.4722,0.5278,,,,,,,,,,,,,1.0,4.0,7.0,,,0.36363636363636365
155399,00192800,Kansas State University,Manhattan,1996,16119.0,1,2,4,4,,,,,5439.0,,,,,,,,,,,0.4722,0.5278,,,,,,,,,,,,,1.0,4.0,7.0,,,0.36363636363636365
155399,00192800,Kansas State University,Manhattan,1996,16119.0,1,2,4,4,,,,,5439.0,,,,,,,,,,,0.4722,0.5278,,,,,,,,,,,,,1.0,9.0,3.0,,,0.75
155399,00192800,Kansas State University,Manhattan,1996,16119.0,1,2,4,4,,,,,5439.0,,,,,,,,,,,0.4722,0.5278,,,,,,,,,,,,,1.0,11.0,2.0,,,0.8461538461538461
155399,00192800,Kansas State University,Manhattan,1996,16119.0,1,2,4,4,,,,,5439.0,,,,,,,,,,,0.4722,0.5278,,,,,,,,,,,,,1.0,6.0,5.0,,(Div II play not counted),0.5454545454545454
157289,00199900,University of Louisville,Louisville,1996,13119.0,1,1,4,5,,,,,5803.0,,,,,,,,,,,0.5253,0.4747,,,,,,,,,,,,,,5.0,6.0,,,0.45454545454545453
157951,00200200,Western Kentucky University,Bowling Green,1996,12102.0,1,1,4,5,,,,,5065.0,,,,,,,,,,,0.574,0.426,,,,,,,,,,,,,,4.0,7.0,,,0.36363636363636365
159391,00201000,Louisiana State University and Agricultural & Mechanical College,Baton Rouge,1996,19776.0,1,1,4,5,,,,,5903.0,,,,,,,,,,,0.5049,0.4951,,,,,,,,,,,,,,10.0,2.0,,,0.8333333333333334
159647,00200800,Louisiana Tech University,Ruston,1996,7457.0,1,1,4,5,,,,,5106.0,,,,,,,,,,,0.4661,0.5339,,,,,,,,,,,,,,7.0,3.0,,(Div III play not counted),0.7
159647,00200800,Louisiana Tech University,Ruston,1996,7457.0,1,1,4,5,,,,,5106.0,,,,,,,,,,,0.4661,0.5339,,,,,,,,,,,,,,5.0,6.0,,,0.45454545454545453
159647,00200800,Louisiana Tech University,Ruston,1996,7457.0,1,1,4,5,,,,,5106.0,,,,,,,,,,,0.4661,0.5339,,,,,,,,,,,,,,6.0,5.0,,,0.5454545454545454
159647,00200800,Louisiana Tech University,Ruston,1996,7457.0,1,1,4,5,,,,,5106.0,,,,,,,,,,,0.4661,0.5339,,,,,,,,,,,,,,10.0,2.0,,,0.8333333333333334
